id,foreign_id,lat,lng,description,river,town,active
1840,BRCHFLD01,41.7393,-94.395211,Burchfield Creek at Sage Trail (BRCHFLD01),Burchfield Creek,Panora,t
1855,WLNTCRK01,41.984475,-91.17496,Walnut Creek at Olin (WLNTCRK01),Walnut Creek,Olin,t
1946,DYECRK01,42.034149,-93.30967,Dye Creek at Colo (DYECRK01),Dye Creek,Colo,t
1841,BOYERRV01,41.573223,-95.845234,Boyer River at County F58 (BOYERRV01),Boyer River,Missouri Valley,t
1852,CLRCRK01,41.718254,-91.740208,Clear Creek at Oxford (CLRCRK01),Clear Creek,Oxford,t
1845,WFKLTSIOUX01,43.419586,-95.269068,West Fork Little Sioux at 160th AVE (WFKLTSIOUX01),West Fork Little Sioux River,Lake Park,t
1856,CTFSHCR01,42.467386,-90.682531,Catfish Creek at Dubuque (CTFSHCR01),Catfish Creek,Dubuque,t
759,WNBGORV03,43.220065,-93.299808,Winnebago River at Killdeeer Ave at Mason City (WNBGORV03),Winnebago River,Mason City,t
1815,PRAIRIECRK01,41.923208,-91.783714,Prairie Creek at HWY151 (PRAIRIECRK01),Prairie Creek,Fairfax,t
1762,FLOYDRV03,43.185438,-95.868443,Floyd River at Sheldon (FLOYDRV03),Floyd River,Sheldon,t
1015,MUDCR01,42.1547,-92.0057,Mud Creek at 61st St at Vinton (MUDCR01),Mud Creek,Vinton,t
739,RLSTNCR01,41.661684,-91.522698,Ralston Creek at Governor St at Iowa City (RLSTNCR01),Ralston Creek,Iowa City,t
1008,ENISH05,41.5117,-94.9359,East Nishnabotna River at 345th St at Brayton (ENISH05),East Nishnabotna River,Brayton,t
1779,SCHQSTCR01,40.78279,-92.197807,South Chequest Creek at Bassett (SCHQSTCR01),South Chequest Creek,Troy,t
1027,SFIOWA02,42.4527,-93.3846,South Fork Iowa River at Buckeye (SFIOWA02),South Fork Iowa River,Buckeye,t
11872,DSMNSRV01,41.091633,-92.526501,Des Moines River at Chillicothe (DSMNSRV01),Des Moines River,Chillicothe,t
1914,SKNKRV03,41.194987,-91.807469,Skunk River at Brighton (SKNKRV03),Skunk River,Brighton,t
1000,BFFLOCR01,41.7123,-91.6995,Buffalo Creek at Hwy 6 at Tiffin (BFFLOCR01),Buffalo Creek,Tiffin,t
1007,DRYCRK02,42.0947,-91.6381,Dry Creek at County Home Rd at Robins (DRYCRK02),Dry Creek,Robins,t
1824,CAMPCR01,41.600519,-93.3653,Camp Creek at HWY 163 (NE 12th Ave.) (CAMPCR01),Camp Creek,Mitchellville,t
