Join_Count,TARGET_FID,id,foreign_id,lat,lng,description,river,town,active,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng
1,78,632,05482000,41.612488999999997,-93.621050999999994,Des Moines River at 2nd Ave at Des Moines (DMOI4-05482000),Des Moines River,Des Moines,t,{691DCFE7-DFF0-48AA-9159-7CD3F9B2C5C2}, , , , ,6/11/2012 0:00:00,0,1104287.570000000065193,4468.899999999999636,IA,07100004,Middle Des Moines,7.053594672690000
1,79,677,BRLI4,40.798060000000000,-91.091669999999993,Mississippi River at Burlington (BRLI4),Mississippi,Burlington,t,{83925D5C-3127-4C58-BFB6-A623B748AAE9}, , , , ,6/11/2012 0:00:00,0,1546231.989999999990687,6257.380000000000109,"IA,IL,MO",07080104,Flint-Henderson,6.488316130380000
1,80,1939,06485910,42.626382999999997,-96.515586999999996,Vermillion River near Vermillion (06479010),Big Sioux River,Jefferson,t,{79EA5FED-F1D1-42CD-AF83-6BAC73F4555C}, , , , ,6/11/2012 0:00:00,0,2188003.060000000055879,8854.540000000000873,"IA,MN,NE,SD",10170203,Lower Big Sioux,8.636240086460001
1,81,588,05412020,42.843485000000001,-91.401276999999993,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),Turkey River abv French Hollow Cr,Elkader,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00:00,0,1084109.939999999944121,4387.239999999999782,IA,07060004,Turkey,4.593632289660000
1,82,1607,05420460,41.827331000000001,-90.180766000000006,Beaver Slough at 3rd St at Clinton (05420460-CBSI4),Beaver Slough,Clinton,t,{C5D4BA12-6399-4A40-A170-2F26C7D2C6B1}, , , , ,6/11/2012 0:00:00,0,634693.160000000032596,2568.510000000000218,"IA,IL",07080101,Copperas-Duck,5.584625166160000
1,83,615,05465700,41.103194000000002,-91.063528000000005,Iowa River at Oakville (OKVI4-05465700),Iowa River,Oakville,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0,1078893.669999999925494,4366.130000000000109,IA,07080209,Lower Iowa,5.822144102090000
1,84,601,05457700,43.062195000000003,-92.673884000000001,Cedar River at Charles City (CCYI4-05457700),Cedar River,Charles City,t,{6AE5D8A8-3316-49A6-B484-84B00A70076D}, , , , ,6/11/2012 0:00:00,0,1078114.469999999972060,4362.979999999999563,"IA,MN",07080201,Upper Cedar,5.430390329960000
1,85,670,06898000,40.640279999999997,-93.808279999999996,Thompson River at Davis City (DVSI4-06898000),Thompson River,Davis City,t,{391C349E-2774-48E8-BFE6-FE3431CCDF95}, , , , ,10/13/2016 0:00:00,0,1408798.439999999944121,5701.210000000000036,"IA,MO",10280102,Thompson,5.815419463750000
1,86,521,05389000,43.111927000000001,-91.265131999999994,Yellow River near Ion (05389000),Yellow River,Ion,t,{66B6FBB4-281D-44B8-AEEC-70EBBC503DA2}, , , , ,2/1/2017 0:00:00,0,911495.160000000032596,3688.690000000000055,"IA,MN,WI",07060001,Coon-Yellow,4.441622441490000
1,87,573,05488110,41.360553000000003,-92.973256000000006,Des Moines River near Pella (05488110),Des Moines River,Pella,t,{BD63BFB7-471A-41B1-8B65-1FCFFD956A3C}, , , , ,6/11/2012 0:00:00,0,1370685.189999999944121,5546.970000000000255,"IA,MO",07100009,Lower Des Moines,5.896311936120000
1,88,589,05412500,42.739987999999997,-91.261798999999996,Turkey River at Garber (GRBI4-05412500),Turkey River,Garber,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00:00,0,1084109.939999999944121,4387.239999999999782,IA,07060004,Turkey,4.593632289660000
